cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
82470,2147494668,2147494628,1,0,1
82471,2147494668,2147494628,2,1,1
82481,2147494656,2147494660,1,0,0
82482,2147494660,2147494664,0,-1,0
82484,2147494668,2147494628,1,0,1
82485,2147494668,2147494628,2,1,1
82495,2147494656,2147494660,1,0,0
82496,2147494660,2147494664,0,-1,0
82498,2147494668,2147494628,1,0,1
82499,2147494668,2147494628,2,1,1
82509,2147494656,2147494660,1,0,0
82510,2147494660,2147494664,0,-1,0
82512,2147494668,2147494628,1,0,1
82513,2147494668,2147494628,2,1,1
82523,2147494656,2147494660,1,0,0
82524,2147494660,2147494664,0,-1,0
82526,2147494668,2147494628,1,0,1
82527,2147494668,2147494628,2,1,1
82537,2147494656,2147494660,1,0,0
82538,2147494660,2147494664,0,-1,0
82540,2147494668,2147494628,1,0,1
82541,2147494668,2147494628,2,1,1
82551,2147494656,2147494660,1,0,0
82552,2147494660,2147494664,0,-1,0
82554,2147494668,2147494628,1,0,1
82555,2147494668,2147494628,2,1,1
82565,2147494656,2147494660,1,0,0
82566,2147494660,2147494664,0,-1,0
82568,2147494668,2147494628,1,0,1
82569,2147494668,2147494628,2,1,1
82579,2147494656,2147494660,1,0,0
82580,2147494660,2147494664,0,-1,0
82582,2147494668,2147494628,1,0,1
82583,2147494668,2147494628,2,1,1
82593,2147494656,2147494660,1,0,0
82594,2147494660,2147494664,0,-1,0
82596,2147494668,2147494628,1,0,1
82597,2147494668,2147494628,2,1,1
82607,2147494656,2147494660,1,0,0
82608,2147494660,2147494664,0,-1,0
82610,2147494668,2147494628,1,0,1
82611,2147494668,2147494628,2,1,1
82621,2147494656,2147494660,1,0,0
82622,2147494660,2147494664,0,-1,0
82624,2147494668,2147494628,1,0,1
82625,2147494668,2147494628,2,1,1
82635,2147494656,2147494660,1,0,0
82636,2147494660,2147494664,0,-1,0
82638,2147494668,2147494628,1,0,1
82639,2147494668,2147494628,2,1,1
82649,2147494656,2147494660,1,0,0
82650,2147494660,2147494664,0,-1,0
82652,2147494668,2147494628,1,0,1
82653,2147494668,2147494628,2,1,1
82663,2147494656,2147494660,1,0,0
82664,2147494660,2147494664,0,-1,0
82666,2147494668,2147494628,1,0,1
82667,2147494668,2147494628,2,1,1
82677,2147494656,2147494660,1,0,0
82678,2147494660,2147494664,0,-1,0
82680,2147494668,2147494628,1,0,1
82681,2147494668,2147494628,2,1,1
82691,2147494656,2147494660,1,0,0
82692,2147494660,2147494664,0,-1,0
82694,2147494668,2147494628,1,0,1
82695,2147494668,2147494628,2,1,1
82705,2147494656,2147494660,1,0,0
82706,2147494660,2147494664,0,-1,0
82708,2147494668,2147494628,1,0,1
82709,2147494668,2147494628,2,1,1
82719,2147494656,2147494660,1,0,0
82720,2147494660,2147494664,0,-1,0
82722,2147494668,2147494628,1,0,1
82723,2147494668,2147494628,2,1,1
82733,2147494656,2147494660,1,0,0
82734,2147494660,2147494664,0,-1,0
